"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type"
0,-3.09655000452158,0.229,0.673,0,"IFITM3","CD14 Mono"
0,3.33276972828052,0.581,0.161,0,"CCL3","CD14 Mono"
0,2.51744079848479,0.737,0.326,0,"TNFAIP3","CD14 Mono"
0,2.00205525781944,0.643,0.267,0,"CXCL8","CD14 Mono"
0,4.75399135696312,0.423,0.062,0,"CCL4","CD14 Mono"
0,1.96089598659041,0.57,0.25,0,"CD83","CD14 Mono"
0,2.62760504842458,0.433,0.116,0,"FOLR3","CD14 Mono"
0,3.5844857439938,0.397,0.095,0,"CCL3L1","CD14 Mono"
0,1.76477378638495,0.681,0.391,0,"IL1B","CD14 Mono"
0,5.07042142323644,0.308,0.037,0,"CCL4L2","CD14 Mono"
0,2.24390861341106,0.612,0.341,0,"IER3","CD14 Mono"
0,4.26317807063575,0.312,0.042,0,"TNF","CD14 Mono"
0,2.05127177626708,0.941,0.782,0,"MTRNR2L12","CD14 Mono"
0,1.73701186940483,0.967,0.814,0,"NFKBIA","CD14 Mono"
0,0.704950175757808,0.934,0.956,0,"RPL39","CD14 Mono"
0,0.542593284085085,0.961,0.978,0,"RPL41","CD14 Mono"
0,0.765046756325408,0.953,0.936,0,"RPS27","CD14 Mono"
6.67581500660692e-320,0.647454852700791,0.941,0.947,1.67763231116032e-315,"RPS28","CD14 Mono"
1.08154265292507e-315,3.53324536166067,0.325,0.085,2.71791668680069e-311,"CXCL2","CD14 Mono"
2.01027393837943e-287,-0.508289214411422,0.977,0.975,5.05181840714751e-283,"MT-CO3","CD14 Mono"
6.1572218267001e-272,0.562323557882899,0.932,0.93,1.54730984504973e-267,"ATP5F1E","CD14 Mono"
3.81450104659683e-255,1.03575029836304,0.866,0.656,9.58584113009782e-251,"PPP1R15A","CD14 Mono"
5.93803363002623e-255,0.65112048328182,0.918,0.884,1.49222785122559e-250,"RPL36","CD14 Mono"
1.7134523601239e-246,-0.68090918569439,0.896,0.955,4.30590578099136e-242,"IER2","CD14 Mono"
1.37005795485513e-244,0.435077545631499,0.938,0.957,3.44295564055094e-240,"RPL30","CD14 Mono"
3.35454819720995e-236,0.892604860754877,0.87,0.771,8.42997961958861e-232,"RPS26","CD14 Mono"
4.13466239802404e-233,-0.473253816959182,0.952,0.964,1.03904066062344e-228,"MT-ND1","CD14 Mono"
2.22098066987154e-230,-0.443691860513733,0.954,0.957,5.58132442338717e-226,"MT-ND4","CD14 Mono"
6.50163484864069e-229,1.82769805997933,0.486,0.239,1.63386083746341e-224,"AC015912.3","CD14 Mono"
2.65846573599552e-222,0.455327259520875,0.934,0.952,6.68072439455673e-218,"RPL34","CD14 Mono"
1.57883903758176e-221,1.69348193622714,0.435,0.19,3.96762250144295e-217,"AL138963.4","CD14 Mono"
4.69881683773959e-220,0.459777164321962,0.952,0.942,1.18081267132396e-215,"RPS15","CD14 Mono"
4.04594503048117e-209,2.15475892606866,0.53,0.294,1.01674598615992e-204,"GADD45B","CD14 Mono"
2.00812839852414e-201,0.472953631995792,0.933,0.93,5.04642666549117e-197,"RPS23","CD14 Mono"
7.2841641138622e-197,0.595314071151738,0.906,0.873,1.83051044181357e-192,"RPS21","CD14 Mono"
1.11842799808055e-192,2.17002817405266,0.31,0.113,2.81060955917643e-188,"PMAIP1","CD14 Mono"
4.40078866371453e-190,1.13632523452178,0.77,0.59,1.10591819119146e-185,"NFKBIZ","CD14 Mono"
1.26724312330595e-189,-0.485063988605958,0.892,0.95,3.18458196886786e-185,"FCN1","CD14 Mono"
7.03776597703825e-189,0.50395007393056,0.928,0.91,1.76859059002971e-184,"RPL12","CD14 Mono"
7.68848256940601e-189,-0.482675109019421,0.929,0.949,1.93211566969173e-184,"MT-CYB","CD14 Mono"
4.60578571962552e-186,1.56276137672234,0.554,0.333,1.15743395134189e-181,"THBS1","CD14 Mono"
2.49224085743477e-183,0.319392708568934,0.955,0.973,6.26300127473358e-179,"TMSB10","CD14 Mono"
1.4308622996484e-181,0.432809776456135,0.936,0.947,3.59575695901643e-177,"RPS15A","CD14 Mono"
2.56621430775651e-179,1.49211003822575,0.387,0.174,6.4488965553921e-175,"CXCR4","CD14 Mono"
2.79801627159956e-177,1.70612326870777,0.328,0.133,7.03141489052969e-173,"ATF3","CD14 Mono"
4.17532917134337e-175,0.621895021637546,0.721,0.425,1.04926022075859e-170,"TMEM176B","CD14 Mono"
4.27128281802683e-175,-0.555910824947063,0.958,0.97,1.07337337217014e-170,"JUNB","CD14 Mono"
2.64059070191967e-174,5.68613846302358,0.196,0.049,6.63580443392413e-170,"HSPA1B","CD14 Mono"
9.18411810866461e-170,0.430063076126916,0.925,0.925,2.30796888070742e-165,"RPL35A","CD14 Mono"
1.61735353268037e-167,1.15666185762389,0.708,0.498,4.06440942762577e-163,"BCL2A1","CD14 Mono"
6.9612353637992e-167,0.364434098729182,0.929,0.948,1.74935844692274e-162,"RPL26","CD14 Mono"
7.69338685699769e-167,-0.334970758668844,0.97,0.994,1.93334811716352e-162,"ACTB","CD14 Mono"
9.45096330162556e-158,2.80000848156369,0.546,0.335,2.3750270776985e-153,"HSPA1A","CD14 Mono"
7.09318661254939e-152,1.49536064790883,0.224,0.068,1.78251779573366e-147,"HLA-DQA2","CD14 Mono"
1.57767585106997e-151,1.6033495903184,0.487,0.291,3.96469941373882e-147,"NLRP3","CD14 Mono"
6.13969100746312e-151,3.94155349117554,0.132,0.022,1.54290435017548e-146,"CXCL3","CD14 Mono"
