"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","41/366","208/18860",0.197115384615385,10.1573665405633,18.6820275579046,1.80544699534844e-29,6.9293055681473e-26,5.61969133183719e-26,"RPL39/RPL41/RPS27/RPS28/RPL36/RPL30/RPS26/RPL34/RPS15/RPS23/RPS21/RPL12/RPS15A/RPL35A/RPL26/RPL37/RPL36A/RPS13/RPL32/RPS24/RPL28/RPS27A/RPL11/RPS19/RPS12/RPS5/RPL35/RPS7/RPL24/RPL19/RPS3/RPS18/RPL29/RPL38/RPL14/RPL22L1/RPLP0/YBX1/RPS29/RPL5/RPS10",41
"GO:0006119","oxidative phosphorylation","24/366","148/18860",0.162162162162162,8.35622507753655,12.6389270866204,1.17767664143442e-15,2.25996147491265e-12,1.83283675195873e-12,"TNF/ATP5F1E/COX7C/PPIF/NDUFA3/ATP5ME/COX7A2/ATP5MF/UQCRH/NDUFB1/COX7B/UQCR11/NDUFA1/COX6C/NDUFA12/NDUFS5/UQCR10/NDUFB4/NDUFS8/NDUFA6/NDUFB5/CYCS/STOML2/UQCC2",24
"GO:0006457","protein folding","28/366","228/18860",0.12280701754386,6.32825232480107,11.3869369290611,7.50319115870041e-15,9.59908255569739e-12,7.78488991448319e-12,"HSPA1B/HSPA1A/DNAJB1/HSPA8/HSP90AA1/PPIF/B2M/HSPE1/HSPH1/DNAJA1/CALR/PDCD5/HSP90AB1/HSPB1/FKBP4/HSP90B1/TCP1/NUDCD2/PDCL3/HSPD1/CHORDC1/PDIA3/GRPEL1/CDC37/PDIA4/METTL21A/PPID/ERO1B",28
"GO:0042254","ribosome biogenesis","32/366","318/18860",0.10062893081761,5.18541430388013,10.5890786038241,2.57138781352741e-14,2.46724660707955e-11,2.00094572752646e-11,"RPS27/RPS28/RPS15/RPS23/RPS21/RPS15A/RPL35A/RPL26/RPS13/RPS24/RPS27A/RPL11/RPS19/RPS12/RPS5/RPL35/WDR74/RPS7/RPL24/RPL38/RPL14/RPLP0/NPM1/RPL5/RSL24D1/NSA2/ISG20/EIF2A/SBDS/DDX21/EIF4A3/DHX30",32
"GO:0022613","ribonucleoprotein complex biogenesis","38/366","496/18860",0.0766129032258065,3.94786708972325,9.35943303039958,5.4306750558026e-13,4.16858617283408e-10,3.38073813473859e-10,"RPS27/RPS28/RPS15/RPS23/RPS21/RPS15A/RPL35A/RPL26/RPS13/RPS24/RPS27A/RPL11/RPS19/RPS12/RPS5/RPL35/WDR74/RPS7/RPL24/HSP90AA1/RPL38/RPL14/RPLP0/NPM1/RPL5/RSRP1/RSL24D1/SNRPD2/SNRPG/NSA2/HSP90AB1/ISG20/SNRPF/EIF2A/SBDS/DDX21/EIF4A3/DHX30",38
"GO:0045333","cellular respiration","30/366","336/18860",0.0892857142857143,4.60089773614364,9.369091635129,3.79092805675687e-12,2.42493031363881e-09,1.96662706382984e-09,"IER3/TNF/ATP5F1E/SOD2/DDIT4/COX7C/PPIF/NDUFA3/ATP5ME/COX7A2/ATP5MF/UQCRH/NDUFB1/COX7B/UQCR11/NDUFA1/NR4A3/COX6C/NDUFA12/NDUFS5/UQCR10/NDUFB4/ALDOA/NDUFS8/NDUFA6/LDHA/NDUFB5/CYCS/STOML2/UQCC2",30
"GO:0009060","aerobic respiration","28/366","297/18860",0.0942760942760943,4.85805228974628,9.42772048837697,5.5370808783097e-12,3.0359023444218e-09,2.46212754243034e-09,"IER3/TNF/ATP5F1E/DDIT4/COX7C/PPIF/NDUFA3/ATP5ME/COX7A2/ATP5MF/UQCRH/NDUFB1/COX7B/UQCR11/NDUFA1/COX6C/NDUFA12/NDUFS5/UQCR10/NDUFB4/ALDOA/NDUFS8/NDUFA6/LDHA/NDUFB5/CYCS/STOML2/UQCC2",28
"GO:0042773","ATP synthesis coupled electron transport","17/366","100/18860",0.17,8.76010928961749,10.9455065948837,8.33984641842924e-12,3.30467705961261e-09,2.68010478738226e-09,"COX7C/NDUFA3/COX7A2/UQCRH/NDUFB1/COX7B/UQCR11/NDUFA1/COX6C/NDUFA12/NDUFS5/UQCR10/NDUFB4/NDUFS8/NDUFA6/NDUFB5/CYCS",17
"GO:0042775","mitochondrial ATP synthesis coupled electron transport","17/366","100/18860",0.17,8.76010928961749,10.9455065948837,8.33984641842924e-12,3.30467705961261e-09,2.68010478738226e-09,"COX7C/NDUFA3/COX7A2/UQCRH/NDUFB1/COX7B/UQCR11/NDUFA1/COX6C/NDUFA12/NDUFS5/UQCR10/NDUFB4/NDUFS8/NDUFA6/NDUFB5/CYCS",17
"GO:0022904","respiratory electron transport chain","18/366","115/18860",0.156521739130435,8.0655737704918,10.6914861883826,8.61041443359199e-12,3.30467705961261e-09,2.68010478738226e-09,"SOD2/COX7C/NDUFA3/COX7A2/UQCRH/NDUFB1/COX7B/UQCR11/NDUFA1/COX6C/NDUFA12/NDUFS5/UQCR10/NDUFB4/NDUFS8/NDUFA6/NDUFB5/CYCS",18
