"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006457","protein folding","24/271","228/18860",0.105263157894737,7.32569430957467,11.602774410007,2.85868304221381e-14,8.89050426128494e-11,7.9320931571322e-11,"HSPA1B/HSPA1A/HSPH1/DNAJB1/HSP90AA1/TCP1/DNAJA1/BAG3/HSPB1/CHORDC1/HSPA8/HSPD1/HSP90AB1/FKBP4/TBCC/HSPA4/HSPE1/NUDC/DNAJB6/HSPA5/PPIL3/AHSA1/DNLZ/CDC37L1",24
"GO:0006986","response to unfolded protein","20/271","152/18860",0.131578947368421,9.15711788696834,12.1916030563773,6.17906584783558e-14,9.60844739338432e-11,8.57264082889189e-11,"HSPA1A/PPP1R15A/HSPH1/DNAJB1/HSP90AA1/DNAJA1/BAG3/HSPB1/ATF4/HSPA8/HSPD1/HSP90AB1/HSPA4/HSPE1/CDK5RAP3/HSPA5/ERN1/BBC3/DNAJB9/HERPUD1",20
"GO:0035966","response to topologically incorrect protein","20/271","172/18860",0.116279069767442,8.09233673732086,11.2820525956096,6.63940001071236e-13,6.88284467777182e-10,6.14086260639922e-10,"HSPA1A/PPP1R15A/HSPH1/DNAJB1/HSP90AA1/DNAJA1/BAG3/HSPB1/ATF4/HSPA8/HSPD1/HSP90AB1/HSPA4/HSPE1/CDK5RAP3/HSPA5/ERN1/BBC3/DNAJB9/HERPUD1",20
"GO:0097193","intrinsic apoptotic signaling pathway","24/271","335/18860",0.0716417910447761,4.98584567935232,8.88750252687542,1.12770242472911e-10,8.76788635226886e-08,7.82269366206828e-08,"RPS7/HSPA1A/PPP1R15A/DDX5/DDIT4/UBB/DNAJA1/HSPB1/ATF4/SOD1/IER3/HSPE1/CRIP1/CDIP1/YBX3/GRINA/ERN1/SIAH1/BBC3/CDKN2D/HERPUD1/RRN3/SOD2/TOPORS",24
"GO:0043484","regulation of RNA splicing","18/271","192/18860",0.09375,6.52444649446494,9.28980187691844,3.5820710669218e-10,2.22804820362536e-07,1.98786091208544e-07,"RPS26/SRSF2/HSPA1A/DDX5/SLC38A2/SRSF7/TIA1/CDK11A/FASTK/RBM4/RBM14/CLK4/ERN1/AHNAK/CLK1/RBM7/SUPT7L/CLK2",18
"GO:0031396","regulation of protein ubiquitination","18/271","200/18860",0.09,6.26346863468635,9.03539575016763,6.97300328464814e-10,3.61434003587595e-07,3.22470818567237e-07,"RPS7/HSPA1B/HSPA1A/HSP90AA1/TNFAIP3/UBE2S/UBB/DNAJA1/VPS28/HSP90AB1/WASHC1/CDK5RAP3/HSPA5/BIRC3/ISG15/HERPUD1/BIRC2/SQSTM1",18
"GO:0072331","signal transduction by p53 class mediator","17/271","196/18860",0.086734693877551,6.03622260712403,8.55749300811539,3.69277093291509e-09,1.6406453716237e-06,1.46378107957356e-06,"RPL37/RPS7/RPS15/PPP1R15A/SOX4/DDX5/DDIT4/UBB/SGK1/HEXIM1/CDK5RAP3/CDIP1/BBC3/NOP2/PPM1D/RRN3/TOPORS",17
"GO:0042026","protein refolding","8/271","29/18860",0.275862068965517,19.1983712940578,11.8416110129615,5.41717191500856e-09,2.10592558195958e-06,1.87890331157402e-06,"HSPA1B/HSPA1A/HSP90AA1/DNAJA1/HSPB1/HSPA8/HSPD1/HSPA5",8
"GO:0002181","cytoplasmic translation","17/271","208/18860",0.0817307692307692,5.68797899517457,8.20862816104772,9.0706844637505e-09,3.13442540914045e-06,2.79652915163115e-06,"RPS26/RPL39/RPL41/RPL37/RPS27/RPL35A/RPS7/RPS28/RPS15/RPL36A/RPS21/RPL4/RBM4/YBX3/FTSJ1/UBE2A/NPRL2",17
"GO:0008380","RNA splicing","26/271","490/18860",0.0530612244897959,3.69274794788764,7.29214217375999,1.12302645335117e-08,3.49261226992214e-06,3.1161028747723e-06,"RPS26/RSRP1/SRSF2/HSPA1A/DDX5/SNRPN/SLC38A2/SRSF7/HSPA8/LUC7L/TIA1/CDK11A/FASTK/C9orf78/RBM4/RBM14/CLK4/ERN1/TARDBP/AHNAK/PPIL3/CLK1/RBM7/SUPT7L/CLK2/KHDC4",26
