"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","cytoplasmic translation","77/821","208/18860",0.370192307692308,8.50405228145789,23.2161122426241,4.7107575561476e-51,2.22536186952412e-47,1.92397255977397e-47,"RPS26/RPL4/RPL24/RPLP0/RPS5/RPL36/RPS21/RPL29/RPL9/RPL35A/RPS7/RPS15/RPL5/RPL12/RPS28/RPL37/RPS13/RPS3/RPL19/RPS6/RPL30/RPS27A/RPS23/RPS15A/RPS19/RPL39/RPL11/RPL32/RPS18/RPL26/RPS27/RPL41/RPLP1/EIF5/RPS24/RPL36A/RPS9/RPS12/RPS8/RPL28/RPL22/RPS3A/RPL18A/RPL8/RPL35/RPL6/RPL18/RPS4X/RPL13/RPL15/RBM4/UBE2A/FAU/RPL7A/RACK1/RPL14/RPS25/RPL10/RPL37A/YBX3/EIF3F/EIF4A2/RPSA/YBX1/EIF4A1/EIF3L/RPL36AL/EIF3H/RHEB/ZC3H15/SLBP/YWHAG/FXR1/EIF3I/YTHDF2/RRAGC/EIF2B5",77
"GO:0022613","ribonucleoprotein complex biogenesis","101/821","496/18860",0.203629032258065,4.67776315272484,17.7078417863667,4.46608680282017e-40,1.05488970282612e-36,9.12021936575908e-37,"RSRP1/HSP90AA1/HSP90AB1/RPL24/RPLP0/RPS5/RPS21/RPL35A/RPS7/RPS15/RPL5/RPS28/RPS13/RPS6/RPS27A/RPS23/RPS15A/RPS19/RPL11/RPL26/RPS27/EIF5/RPS24/EIF4A3/RPS9/RPS12/RPS8/PTGES3/RPS3A/RAN/NOP10/RPL35/NGRN/SDE2/RPS4X/FAU/RPL7A/NGDN/SNRPG/RPL14/RPS25/SF3B4/NOP58/NPM1/TRMT112/EIF3F/NOP56/RPSA/EIF3L/RSL24D1/SNRPB/SNRPB2/SNRPD2/DDX3X/DDX21/EIF3H/SBDS/SF3B6/STRAP/SRSF10/NOP16/UTP11/SLU7/PHF5A/ZNF622/SNU13/KHDC4/AK6/NOP2/BUD23/EIF3I/ISY1/DNTTIP2/SF3A2/NAF1/YTHDF2/TAF9/NOLC1/TFB2M/UTP23/CRNKL1/NOL11/ISG20L2/GTPBP4/LSM2/NIP7/DCAF13/GNL2/TSSC4/ZNHIT3/RIOK2/PRMT5/MRM3/DDX56/RRN3/PNO1/IMP4/XAB2/UTP4/BRIX1/PAK1IP1",101
"GO:0042254","ribosome biogenesis","74/821","318/18860",0.232704402515723,5.34568213330882,16.6731596107,1.75468999012639e-33,2.76305183778569e-30,2.38884110936505e-30,"RPL24/RPLP0/RPS5/RPS21/RPL35A/RPS7/RPS15/RPL5/RPS28/RPS13/RPS6/RPS27A/RPS23/RPS15A/RPS19/RPL11/RPL26/RPS27/EIF5/RPS24/EIF4A3/RPS9/RPS12/RPS8/RPS3A/RAN/NOP10/RPL35/NGRN/SDE2/RPS4X/FAU/RPL7A/NGDN/RPL14/RPS25/NOP58/NPM1/TRMT112/NOP56/RPSA/RSL24D1/DDX3X/DDX21/SBDS/NOP16/UTP11/ZNF622/SNU13/AK6/NOP2/BUD23/DNTTIP2/NAF1/YTHDF2/NOLC1/TFB2M/UTP23/NOL11/ISG20L2/GTPBP4/NIP7/DCAF13/GNL2/ZNHIT3/RIOK2/MRM3/DDX56/RRN3/PNO1/IMP4/UTP4/BRIX1/PAK1IP1",74
"GO:0008380","RNA splicing","81/821","490/18860",0.16530612244898,3.79740982873052,13.3851806784324,1.0574202015899e-25,1.24881325807767e-22,1.07968167951811e-22,"HSPA1A/SRSF2/RSRP1/RPS26/HSPA8/RPS13/SAP18/EIF4A3/SLC38A2/RBM8A/SDE2/RBM4/CLK1/JMJD6/SNRPG/BUD31/SF3B4/NPM1/RBM14/SRSF7/YBX1/MAGOH/MFAP1/ENY2/SNRPB/SNRPB2/SNRPD2/PPP4R2/WTAP/SFPQ/HNRNPH3/SON/SF3B6/LSM1/STRAP/SRSF10/MBNL2/SYF2/SNRPN/SLU7/DDX39A/RTRAF/BCAS2/HNRNPH2/PHF5A/PRDX6/ALYREF/CLK4/ZNF830/TRA2B/SNRNP35/SNU13/TFIP11/RBM42/PRPF38A/KHDC4/TARDBP/ISY1/RBM7/POLR2A/SF3A2/TAF9/PTBP1/PDCD7/CLK3/CRNKL1/ZPR1/TSEN34/CWC25/RBM22/SMNDC1/ZNF326/RRAGC/SUPT7L/LSM2/CCNL2/TSSC4/CDK11A/PRMT5/RP9/XAB2",81
"GO:0042274","ribosomal small subunit biogenesis","37/821","107/18860",0.345794392523364,7.94358373080469,15.3661429286597,8.04207767949621e-24,7.59815499158801e-21,6.56910766240953e-21,"RPS5/RPS21/RPS7/RPS15/RPS28/RPS13/RPS6/RPS27A/RPS23/RPS15A/RPS19/RPS27/RPS24/RPS9/RPS12/RPS8/RPS3A/RPS4X/FAU/NGDN/RPS25/NOP58/NPM1/TRMT112/NOP56/RPSA/UTP11/SNU13/AK6/DNTTIP2/UTP23/NOL11/DCAF13/RIOK2/PNO1/IMP4/UTP4",37
"GO:0006364","rRNA processing","47/821","223/18860",0.210762331838565,4.8416292064255,12.311318105342,1.00550387557721e-19,7.91666718037787e-17,6.84448252147291e-17,"RPS21/RPL35A/RPS7/RPS15/RPL5/RPS28/RPS6/RPS19/RPL11/RPL26/RPS27/RPS24/EIF4A3/RPS8/NOP10/RPL35/SDE2/RPL7A/NGDN/RPL14/RPS25/NOP58/TRMT112/NOP56/DDX21/SBDS/UTP11/SNU13/AK6/NOP2/BUD23/NAF1/YTHDF2/NOLC1/TFB2M/UTP23/NOL11/GTPBP4/DCAF13/ZNHIT3/RIOK2/MRM3/DDX56/IMP4/UTP4/BRIX1/PAK1IP1",47
"GO:0016072","rRNA metabolic process","51/821","270/18860",0.188888888888889,4.33915279469482,11.7897109864376,4.20430385306466e-19,2.8373044859825e-16,2.45303743607382e-16,"RPS21/RPL35A/RPS7/RPS15/RPL5/RPS28/RPS6/RPS19/RPL11/RPL26/RPS27/RPS24/EIF4A3/RPS8/NOP10/RPL35/DEDD2/SDE2/POLR1D/RPL7A/NGDN/RPL14/RPS25/NOP58/TRMT112/NOP56/DDX21/SBDS/TOP1/UTP11/SNU13/AK6/NOP2/GTF3C4/BUD23/NAF1/YTHDF2/NOLC1/TFB2M/UTP23/NOL11/GTPBP4/DCAF13/ZNHIT3/RIOK2/MRM3/DDX56/IMP4/UTP4/BRIX1/PAK1IP1",51
"GO:0006457","protein folding","44/821","228/18860",0.192982456140351,4.43319016176251,11.1265423324089,5.16347803891027e-17,3.04903378197651e-14,2.63609141986472e-14,"HSPA1A/HSPH1/DNAJA1/DNAJB1/HSPE1/AHSA1/HSPA1B/HSPB1/FKBP4/TCP1/HSPD1/DNAJB6/CHORDC1/BAG3/HSP90AA1/HSPA8/HSP90AB1/HSPA6/NUDC/PTGES3/HSPA4/CCT4/CCT2/DNAJA4/DNAJB4/ST13/CCT3/HSPA5/CCT6A/PFDN5/GRPEL1/CCT5/PPIA/ERO1B/TBCC/PFDN2/DNAJB11/SDF2/DNAJA2/ZPR1/DNAJC2/CCDC47/PPID/DNLZ",44
"GO:0000375","RNA splicing, via transesterification reactions","54/821","348/18860",0.155172413793103,3.56461842160528,10.3017353368327,3.19836225144585e-16,1.67878480842558e-13,1.45142053048069e-13,"SRSF2/RSRP1/HSPA8/SAP18/EIF4A3/RBM8A/SDE2/RBM4/JMJD6/SNRPG/BUD31/SF3B4/NPM1/RBM14/SRSF7/MAGOH/MFAP1/SNRPB/SNRPB2/SNRPD2/WTAP/SFPQ/HNRNPH3/SON/SF3B6/LSM1/STRAP/SRSF10/SYF2/SNRPN/SLU7/DDX39A/BCAS2/PHF5A/PRDX6/TRA2B/SNRNP35/SNU13/TFIP11/RBM42/PRPF38A/KHDC4/ISY1/RBM7/SF3A2/PTBP1/CRNKL1/CWC25/RBM22/SMNDC1/LSM2/TSSC4/PRMT5/XAB2",54
"GO:0071826","protein-RNA complex organization","44/821","240/18860",0.183333333333333,4.21153065367438,10.6819990184055,3.80453075158733e-16,1.79726032704985e-13,1.55385045433251e-13,"RSRP1/HSP90AA1/HSP90AB1/RPL24/RPS15/RPL5/RPS28/RPS6/RPS19/RPL11/RPS27/EIF5/PTGES3/FAU/SNRPG/SF3B4/EIF3F/RPSA/EIF3L/SNRPB/SNRPB2/SNRPD2/EIF3H/SF3B6/STRAP/SRSF10/SLU7/PHF5A/SNU13/TFIP11/KHDC4/NOP2/EIF3I/ISY1/SF3A2/NAF1/TAF9/CRNKL1/LSM2/TSSC4/ZNHIT3/PRMT5/XAB2/BRIX1",44
