"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051056","regulation of small GTPase mediated signal transduction","61/922","314/18860",0.194267515923567,3.97384528234108,12.0474698294746,1.0133397737394e-20,5.19640635973566e-17,3.73122371425309e-17,"ARHGAP26/ARHGAP30/RAP1GAP2/DOCK8/RTN4/MYO9B/TIAM1/TNS3/CBL/AKAP13/RIPOR2/DENND1A/ARHGAP25/ARRB1/SOS1/ARFGEF1/SIPA1L1/ARHGAP15/MAP4K4/IQSEC1/WNK1/TRIO/CDC42SE2/FGD4/ARAP1/DENND4A/CYTH4/FGD3/DOCK2/ABR/ARHGEF18/MAPKAP1/PIK3CB/GBF1/F11R/PREX1/PLEKHG3/ARHGAP27/RALGAPA2/ARHGEF2/GMIP/ARHGEF10L/PIK3CG/PICALM/ARHGEF3/VAV3/ARHGAP45/RASA2/ARHGEF11/RABGEF1/ARHGAP21/ARHGAP18/NOTCH2/RAF1/SEMA4D/OGT/SIPA1/ARHGAP31/VAV1/SWAP70/CUL3",61
"GO:0007015","actin filament organization","75/922","469/18860",0.159914712153518,3.27114042431166,11.291860845933,6.01096421815675e-20,1.54121122553539e-16,1.10665014921644e-16,"MYO1F/LCP1/CFL1/GRB2/ARPC1B/TPM4/FLNA/WASF2/VASP/HCK/TPM3/CORO1A/ACTG1/ZYX/CAP1/MSRB1/LIMD2/PYCARD/ARPC2/DIAPH1/ROCK1/ARHGAP25/ARRB1/ARFGEF1/PRKCD/ACTR2/NCKAP1L/RHOQ/IQGAP1/DIAPH2/PAK2/MICAL2/CCDC88A/PTK2B/MTPN/ACTN1/CAPZA1/GSN/PXN/ARAP1/CLASP2/MYO5A/ARHGEF18/ARPC4/NEDD9/FCHSD2/CYFIP1/F11R/SVIL/PREX1/RHOG/WIPF1/RASA1/ARHGEF2/TRIOBP/RICTOR/PPM1F/ARHGEF10L/SH3KBP1/ARHGAP18/ACTR3/SSH2/PIK3CA/SMAD3/ZEB2/PPFIA1/ROCK2/CNN2/ELMO1/CORO7/BRAF/DLG1/SWAP70/SSH1/CUL3",75
"GO:0030099","myeloid cell differentiation","71/922","481/18860",0.147609147609148,3.01942356172291,10.1713078561859,5.26808824649457e-17,9.00491884267471e-14,6.46588515306596e-14,"JUNB/UCP2/CEBPB/SPI1/TPM4/FLNA/WASF2/LYN/PTPRJ/FBXW7/LILRB3/ZFP36L1/CCR1/RCOR1/CSF3R/MYH9/KLF13/CD4/IKZF1/PIK3CD/GAB2/TGFBR2/RXRA/RASSF2/SH2B3/NCKAP1L/QKI/ZBTB7A/EP300/PTPN6/OSCAR/KCNQ1/NBEAL2/PTK2B/ACTN1/MAPK14/PPP3CA/KAT6A/INPP5D/SBNO2/RBPJ/TET2/AP3B1/RASGRP4/NEDD9/RUNX1/ZNF385A/SP3/KMT2E/ADAR/TESC/PAFAH1B1/FOXP1/STAT5B/HIPK2/NCOA6/LBR/NOTCH2/CBFB/FES/MYD88/FLI1/IL15/PIP4K2A/NRROS/CSF1R/HEATR3/PRKX/PSEN1/GAB3/FOXO3",71
"GO:0007159","leukocyte cell-cell adhesion","67/922","439/18860",0.152619589977221,3.12191482317829,10.1986194405584,7.39937119317705e-17,9.48599386965298e-14,6.81131590361403e-14,"ACTB/ITGB2/HLA-A/CEBPB/GRB2/VSIR/LYN/CORO1A/DOCK8/PTPRC/CD44/SYK/PYCARD/ALOX5/JAK3/CR1/CD4/RIPOR2/FERMT3/PIK3CD/HLA-E/STK10/TMEM131L/TGFBR2/ROCK1/ITGAL/ARID1A/EXT1/CX3CR1/MSN/NCKAP1L/LGALS3/EP300/PTPN6/CSK/WNK1/ARID1B/NOD2/PRDX2/PECAM1/PPP3CA/SIRPA/AP3B1/TNFAIP8L2/SELPLG/F11R/FYN/ARID2/RUNX1/ITCH/NFKBID/ADAM8/SASH3/FLOT2/STAT5B/TNIP1/IL4R/TSPAN32/CBFB/IL15/LGALS9/SEMA4D/PELI1/VAV1/NFAT5/DLG1/FOXO3",67
"GO:0008360","regulation of cell shape","35/922","141/18860",0.24822695035461,5.07761419055092,11.0182379483372,7.87737440875712e-16,7.59814200325533e-13,5.45576416934624e-13,"ITGB2/CFL1/PLEKHO1/HCK/FMNL1/CORO1A/FGR/MYH9/DIAPH1/PLXNC1/MSN/ARHGAP15/RHOQ/CDC42SE2/FGD4/MKLN1/PTK2B/MARK2/ARAP1/FGD3/ARHGEF18/PLXNB2/CYFIP1/F11R/FYN/RHOG/PLXND1/RASA1/GNA12/SH3KBP1/ARHGAP18/FES/CSF1R/SEMA4D/DLG1",35
"GO:0002263","cell activation involved in immune response","55/922","329/18860",0.167173252279635,3.41961772016694,10.0376733435074,8.89018175107878e-16,7.59814200325533e-13,5.45576416934624e-13,"JUNB/ITGB2/LCP1/SPI1/LYN/CORO1A/FGR/DYSF/PTPRC/ADGRE2/SOCS3/SYK/APBB1IP/IL6R/PYCARD/CBL/JAK3/CR1/PIK3CD/LRP1/GAB2/ITGAL/PLCG2/CX3CR1/SLC11A1/NCKAP1L/LGALS3/EP300/PTPN6/ITGAM/PTK2B/PLCL2/DOCK2/SBNO2/GBF1/NFKBID/PCYT1A/AP1G1/UNC13D/JAK1/FOXP1/PIK3CG/RABGEF1/IL4R/NOTCH2/KMT5B/CD84/FES/MYD88/RAB27A/PHF14/ST3GAL1/LGALS9/PSEN1/SWAP70",55
"GO:0006909","phagocytosis","46/922","251/18860",0.183266932270916,3.74882249742894,9.93939202856627,6.32424519252223e-15,4.632961335322e-12,3.32664807269816e-12,"FCN1/ITGB2/LYN/HCK/CORO1A/PTPRJ/FGR/DYSF/PTPRC/NCF2/SYK/PYCARD/LYST/CD36/MYH9/LRP1/ARHGAP25/ITGAL/PRKCD/PLCG2/SLC11A1/CAMK1D/NCKAP1L/CFP/CSK/CDC42SE2/ITGAM/GSN/PECAM1/ANXA11/ARAP1/SIRPA/DOCK2/RAB31/FYN/PRKACA/UNC13D/VAV3/PIK3CA/MYD88/IL15/CNN2/RAB27A/ELMO1/RAB7A/VAV1",46
"GO:0002366","leukocyte activation involved in immune response","53/922","325/18860",0.163076923076923,3.33582512931754,9.62993803497055,8.69063136070099e-15,5.57069470220934e-12,3.99997743417527e-12,"JUNB/ITGB2/LCP1/SPI1/LYN/CORO1A/FGR/DYSF/PTPRC/ADGRE2/SOCS3/SYK/APBB1IP/IL6R/PYCARD/CBL/JAK3/CR1/PIK3CD/GAB2/ITGAL/PLCG2/CX3CR1/SLC11A1/NCKAP1L/LGALS3/EP300/PTPN6/ITGAM/PTK2B/PLCL2/DOCK2/SBNO2/NFKBID/PCYT1A/AP1G1/UNC13D/JAK1/FOXP1/PIK3CG/RABGEF1/IL4R/NOTCH2/KMT5B/CD84/FES/MYD88/RAB27A/PHF14/ST3GAL1/LGALS9/PSEN1/SWAP70",53
"GO:0050900","leukocyte migration","59/922","397/18860",0.148614609571788,3.03999082052487,9.31343982058202,1.86671414286362e-14,1.06361223606718e-11,7.63715330027714e-12,"ITGB2/RPL13A/SPI1/LYN/HCK/IL17RA/CORO1A/PTPRJ/JAML/DOCK8/ADGRE2/RTN4/CCR1/SYK/IL6R/PYCARD/LYST/ALOX5/CSF3R/MYH9/RIPOR2/PIK3CD/RIN3/STK10/ROCK1/C5AR1/SOS1/ITGAL/EXT1/CX3CR1/CAMK1D/MSN/NCKAP1L/LGALS3/WNK1/PTK2B/PECAM1/SIRPA/NLRP12/NEDD9/SELPLG/GBF1/F11R/FYN/PREX1/PADI2/ADAM8/PAFAH1B1/PIK3CG/VAV3/STAT5B/RABGEF1/MAPK1/MYD88/CSF1R/CNN2/LGALS9/VAV1/SWAP70",59
"GO:0030098","lymphocyte differentiation","62/922","441/18860",0.140589569160998,2.87583435398744,9.03688045011064,5.31797004528191e-14,2.72705503922057e-11,1.95813254930486e-11,"JUNB/ACTB/EGR1/SPI1/VSIR/PTPRJ/PTPRC/ZFP36L1/PRELID1/SOCS3/SYK/IL6R/SOS2/JAK3/CR1/CD4/IKZF1/PIK3CD/TMEM131L/TGFBR2/SOS1/PLCG2/ARID1A/NCKAP1L/HDAC4/ZBTB7A/EP300/PTPN6/ARID1B/PTK2B/NFAM1/PRDX2/PLCL2/DOCK2/INPP5D/RBPJ/AP3B1/PREX1/ARID2/RUNX1/NFKBID/ADAM8/SP3/SASH3/HDAC9/JAK1/FOXP1/FNIP1/STAT5B/IL4R/NOTCH2/CBFB/IL15/YY1/PHF14/ST3GAL1/LYL1/LGALS9/BRAF/NFATC3/VAV1/FOXO3",62
"GO:0022604","regulation of cell morphogenesis","44/922","249/18860",0.176706827309237,3.61463206404795,9.41592916492635,9.50328041436875e-14,4.43025654226209e-11,3.18109807554659e-11,"ITGB2/CFL1/PLEKHO1/HCK/FMNL1/CORO1A/FGR/CD44/CUX1/MYH9/RREB1/DIAPH1/AGO4/PLXNC1/MSN/ARHGAP15/RHOQ/CDC42SE2/FGD4/MKLN1/PTK2B/MARK2/ARAP1/FGD3/ARHGEF18/PLXNB2/CYFIP1/SMURF1/F11R/FYN/RHOG/PLXND1/RASA1/PAFAH1B1/MACF1/GNA12/PLAA/SH3KBP1/PDZD8/ARHGAP18/FES/CSF1R/SEMA4D/DLG1",44
"GO:0030100","regulation of endocytosis","50/922","318/18860",0.157232704402516,3.21627853040287,9.03644047053739,2.16225138823667e-13,9.24002093239803e-11,6.63469768074725e-11,"FCN1/ACTB/HCK/PTPRJ/FGR/ACTG1/DYSF/PTPRC/ANKRD13D/SYK/PYCARD/CBL/BMP2K/CD36/RIN3/LRP1/ROCK1/ARRB1/PLCG2/SLC11A1/CAMK1D/NCKAP1L/LGALS3/CFP/CSK/MKLN1/TBC1D5/PPP3CA/ARAP1/SIRPA/DOCK2/CALM3/NRG1/PIK3CB/ATXN2/RAB31/PRKACA/INSR/LRRK2/NUMB/PICALM/SNX17/CD63/RABGEF1/AP2A1/PACSIN2/IL15/DGKD/CNN2/RAB27A",50
