"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050851","antigen receptor-mediated signaling pathway","16/137","215/18860",0.0744186046511628,10.2447801731455,11.6618250009291,4.07959024633316e-12,1.14962853141669e-08,9.07386756894945e-09,"HLA-A/CCR7/PDE4B/BCL2/THEMIS2/NFKBIZ/PRKCH/PDE4D/FOXP1/LCK/FYN/ITK/PIK3CD/RFTN1/PRKCB/WNK1",16
"GO:0030098","lymphocyte differentiation","21/137","441/18860",0.0476190476190476,6.55543969412583,10.0980287663491,8.29723917180673e-12,1.16908099930757e-08,9.22740335264611e-09,"SOCS3/CCR7/BCL2/NFKBIZ/IKZF1/TGFBR2/LEF1/DOCK10/JUNB/JAK1/FOXP1/XBP1/LCK/ATM/RUNX1/BCL11B/ITK/PIK3CD/GPR183/RASGRP1/ITGA4",21
"GO:0022904","respiratory electron transport chain","12/137","115/18860",0.104347826086957,14.3649635036496,12.2971896288491,4.32041530716732e-11,4.05831011186584e-08,3.20317106808581e-08,"MT-CO3/MT-ND5/MT-CYB/MT-CO2/MT-ND1/MT-ND4/MT-CO1/MT-ND2/MT-ND3/MT-ND4L/MT-ND6/IMMP2L",12
"GO:0006119","oxidative phosphorylation","13/137","148/18860",0.0878378378378378,12.0921286249753,11.588241717675,5.83164198786533e-11,4.09595077505703e-08,3.23288035101248e-08,"MT-CO3/MT-ND5/MT-CYB/MT-CO2/MT-ATP8/MT-ND1/MT-ATP6/MT-ND4/MT-CO1/MT-ND2/MT-ND3/MT-ND4L/MT-ND6",13
"GO:0019646","aerobic electron transport chain","11/137","93/18860",0.118279569892473,16.2828663370222,12.6380700222512,7.26747830918564e-11,4.09595077505703e-08,3.23288035101248e-08,"MT-CO3/MT-ND5/MT-CYB/MT-CO2/MT-ND1/MT-ND4/MT-CO1/MT-ND2/MT-ND3/MT-ND4L/MT-ND6",11
"GO:0022900","electron transport chain","12/137","125/18860",0.096,13.2157664233577,11.721434714735,1.1606130194127e-10,5.45101248117497e-08,4.30241282459479e-08,"MT-CO3/MT-ND5/MT-CYB/MT-CO2/MT-ND1/MT-ND4/MT-CO1/MT-ND2/MT-ND3/MT-ND4L/MT-ND6/IMMP2L",12
"GO:0042773","ATP synthesis coupled electron transport","11/137","100/18860",0.11,15.1430656934307,12.129950729227,1.61726286350378e-10,5.69680843669206e-08,4.4964163560309e-08,"MT-CO3/MT-ND5/MT-CYB/MT-CO2/MT-ND1/MT-ND4/MT-CO1/MT-ND2/MT-ND3/MT-ND4L/MT-ND6",11
"GO:0042775","mitochondrial ATP synthesis coupled electron transport","11/137","100/18860",0.11,15.1430656934307,12.129950729227,1.61726286350378e-10,5.69680843669206e-08,4.4964163560309e-08,"MT-CO3/MT-ND5/MT-CYB/MT-CO2/MT-ND1/MT-ND4/MT-CO1/MT-ND2/MT-ND3/MT-ND4L/MT-ND6",11
"GO:0030217","T cell differentiation","17/137","330/18860",0.0515151515151515,7.09179385091794,9.54984567913476,2.82684299062569e-10,8.85115949731466e-08,6.98610437332407e-08,"SOCS3/CCR7/BCL2/NFKBIZ/TGFBR2/LEF1/JUNB/JAK1/FOXP1/XBP1/LCK/RUNX1/BCL11B/ITK/PIK3CD/GPR183/RASGRP1",17
"GO:0046631","alpha-beta T cell activation","14/137","206/18860",0.0679611650485437,9.35582169938346,10.3149869621522,3.21511147475418e-10,9.06018413585729e-08,7.15108478542694e-08,"HLA-A/SOCS3/BCL2/NFKBIZ/TGFBR2/LEF1/JUNB/JAK1/FOXP1/RUNX1/BCL11B/ITK/GPR183/PRKCQ",14
"GO:0046632","alpha-beta T cell differentiation","12/137","143/18860",0.0839160839160839,11.5522433770609,10.8349420525562,5.60238451140862e-10,1.43522905028632e-07,1.13280750934033e-07,"SOCS3/BCL2/NFKBIZ/TGFBR2/LEF1/JUNB/JAK1/FOXP1/RUNX1/BCL11B/ITK/GPR183",12
"GO:0050852","T cell receptor signaling pathway","12/137","153/18860",0.0784313725490196,10.7971947903249,10.4082395792624,1.22392410341574e-09,2.87418176952131e-07,2.26855406185743e-07,"HLA-A/CCR7/PDE4B/THEMIS2/NFKBIZ/PDE4D/LCK/FYN/ITK/PIK3CD/RFTN1/WNK1",12
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis","9/137","68/18860",0.132352941176471,18.2202662086732,12.1685746471679,1.48100261437434e-09,2.9988215640724e-07,2.36693062077807e-07,"MT-ND5/MT-ATP8/MT-ND1/MT-ATP6/MT-ND4/MT-ND2/MT-ND3/MT-ND4L/MT-ND6",9
"GO:1902600","proton transmembrane transport","13/137","192/18860",0.0677083333333333,9.32101581508516,9.91311081147475,1.48983328236386e-09,2.9988215640724e-07,2.36693062077807e-07,"MT-CO3/MT-ND5/MT-CYB/MT-CO2/MT-ATP8/MT-ND1/MT-ATP6/MT-ND4/MT-CO1/MT-ND2/MT-ND3/MT-ND4L/MT-ND6",13
"GO:0002768","immune response-regulating cell surface receptor signaling pathway","17/137","385/18860",0.0441558441558442,6.07868044364395,8.61233518351906,2.95286597914185e-09,5.54745088614781e-07,4.37853039573805e-07,"HLA-A/CCR7/PDE4B/BCL2/THEMIS2/NFKBIZ/PRKCH/PDE4D/FOXP1/LCK/FYN/ITK/PIK3CD/PRKCQ/RFTN1/PRKCB/WNK1",17
"GO:0015986","proton motive force-driven ATP synthesis","9/137","76/18860",0.118421052631579,16.3023434498655,11.4341160749451,4.07682523864597e-09,7.18030845156522e-07,5.66732350609141e-07,"MT-ND5/MT-ATP8/MT-ND1/MT-ATP6/MT-ND4/MT-ND2/MT-ND3/MT-ND4L/MT-ND6",9
"GO:0050853","B cell receptor signaling pathway","9/137","78/18860",0.115384615384615,15.8843346434587,11.2677630103669,5.15502737273143e-09,8.54521596256303e-07,6.74462714463251e-07,"BCL2/NFKBIZ/PRKCH/FOXP1/LCK/ITK/PIK3CD/RFTN1/PRKCB",9
"GO:0002429","immune response-activating cell surface receptor signaling pathway","16/137","353/18860",0.0453257790368272,6.23973863236906,8.5008207670756,6.14715897658116e-09,9.62371888666984e-07,7.59587539036023e-07,"HLA-A/CCR7/PDE4B/BCL2/THEMIS2/NFKBIZ/PRKCH/PDE4D/FOXP1/LCK/FYN/ITK/PIK3CD/RFTN1/PRKCB/WNK1",16
"GO:0030099","myeloid cell differentiation","18/137","481/18860",0.0374220374220374,5.15167610058121,7.88981751583749,1.30129494935007e-08,1.93002587750974e-06,1.52334417062421e-06,"KLF2/CCR7/IKZF1/TGFBR2/LEF1/JUNB/MYH9/FOXP1/UBASH3B/PRKCA/FBXW7/HIPK2/RUNX1/PIK3CD/GPR183/PRKX/PIP4K2A/KLF13",18
