"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030098","lymphocyte differentiation","66/883","441/18860",0.149659863945578,3.19658554248426,10.3446419748686,4.01177967922055e-17,2.06406064495897e-13,1.57979660841727e-13,"PTPRC/BCL2/RUNX1/ACTB/IKZF1/DOCK2/SOS1/PTPRJ/INPP5D/BCL11B/ITGA4/TMEM131L/CD3G/LCK/LGALS1/THEMIS/CARD11/FOXP1/DOCK10/ATM/DOCK11/SOCS3/ARID1B/STAT4/JAK1/RASGRP1/SPN/LEF1/NFKBIZ/TCF7/PTK2B/RC3H1/VSIR/PIK3CD/CD4/TNFSF8/NCKAP1L/AP3B1/PRKDC/PREX1/PTPN6/IL6R/NFATC3/HDAC4/FNIP1/VAV1/PRDX2/OPA1/TGFBR2/SASH3/PTPN22/PPP3CB/TOX/STAT5B/ITPKB/ST3GAL1/CD3D/CTNNB1/CDK6/JAK3/PLCL2/ZFPM1/FOXO3/ARID2/CD27/RBPJ",66
"GO:0007159","leukocyte cell-cell adhesion","63/883","439/18860",0.143507972665148,3.06518727572445,9.70322656941848,1.67212680686812e-15,4.30154621066823e-12,3.29232967604928e-12,"RIPOR2/PTPRC/S100A9/S100A8/RUNX1/ACTB/SKAP1/HLA-A/DOCK8/PRKCQ/ETS1/ITGB2/STK10/ITGA4/TMEM131L/CORO1A/LCK/HLA-E/LGALS1/ITGAL/CARD11/ARID1B/PPP3CA/RASGRP1/SEMA4D/SPN/FYN/FERMT3/LEF1/SELPLG/NFKBIZ/RC3H1/FLOT2/DLG1/VSIR/PIK3CD/KLHL22/CD4/NCKAP1L/AP3B1/CSK/SELL/PTPN6/VAV1/PRDX2/OPA1/TGFBR2/SASH3/PTPN22/WNK1/STAT5B/PYCARD/ITPKB/DPP4/JAK3/ROCK1/PAG1/RAC2/PECAM1/FOXO3/ARID2/CD27/ITCH",63
"GO:0030217","T cell differentiation","52/883","330/18860",0.157575757575758,3.36566114142558,9.60843970696119,1.15841834158638e-14,1.98668745582063e-11,1.52057649679812e-11,"PTPRC/BCL2/RUNX1/ACTB/DOCK2/SOS1/BCL11B/TMEM131L/CD3G/LCK/LGALS1/THEMIS/CARD11/FOXP1/SOCS3/ARID1B/STAT4/JAK1/RASGRP1/SPN/LEF1/NFKBIZ/TCF7/RC3H1/VSIR/PIK3CD/CD4/TNFSF8/NCKAP1L/AP3B1/PRKDC/PREX1/IL6R/NFATC3/VAV1/PRDX2/OPA1/TGFBR2/SASH3/PTPN22/PPP3CB/TOX/STAT5B/ITPKB/CD3D/CTNNB1/CDK6/JAK3/ZFPM1/FOXO3/ARID2/CD27",52
"GO:0032943","mononuclear cell proliferation","48/883","319/18860",0.150470219435737,3.21389392815175,8.83825742120539,7.20779640736892e-13,9.27102812897828e-10,7.09588588420188e-10,"RIPOR2/PTPRC/BCL2/RPL13A/CCND3/HLA-A/DOCK8/TNFRSF1B/DOCK2/SOS1/INPP5D/PRKCQ/TMEM131L/CORO1A/HLA-E/CARD11/VAV3/ATM/PSMB10/PPP3CA/RASGRP1/SPN/FYN/LEF1/NFKBIZ/RC3H1/DLG1/VSIR/CD4/TNFSF8/NCKAP1L/IRS2/MYC/PTPN6/VAV1/PRDX2/LST1/TGFBR2/SASH3/PTPN22/AZI2/PPP3CB/STAT5B/PYCARD/CTNNB1/PLCL2/RAC2/ITCH",48
"GO:0050863","regulation of T cell activation","55/883","404/18860",0.136138613861386,2.90778511599744,8.59077650781576,9.85412326280095e-13,9.28120670456375e-10,7.10367639134019e-10,"RIPOR2/PTPRC/RUNX1/ACTB/HLA-A/DOCK8/TNFRSF1B/SOS1/PRKCQ/TMEM131L/CORO1A/LCK/HLA-E/LGALS1/CARD11/ARID1B/PPP3CA/RASGRP1/SPN/FYN/LEF1/NFKBIZ/TCF7/RC3H1/FLOT2/DLG1/VSIR/PIK3CD/KLHL22/CD4/TNFSF8/NCKAP1L/AP3B1/CSK/SIT1/PTPN6/VAV1/PRDX2/OPA1/TGFBR2/SASH3/PTPN22/TOX/STAT5B/PYCARD/ITPKB/CTNNB1/DPP4/JAK3/PAG1/RAC2/FOXO3/ARID2/CD27/ITCH",55
"GO:0046651","lymphocyte proliferation","47/883","312/18860",0.150641025641026,3.21754217847083,8.75349958022419,1.20473357647341e-12,9.28120670456375e-10,7.10367639134019e-10,"RIPOR2/PTPRC/BCL2/RPL13A/CCND3/HLA-A/DOCK8/TNFRSF1B/DOCK2/SOS1/INPP5D/PRKCQ/TMEM131L/CORO1A/HLA-E/CARD11/VAV3/ATM/PSMB10/PPP3CA/RASGRP1/SPN/FYN/LEF1/NFKBIZ/RC3H1/DLG1/VSIR/CD4/TNFSF8/NCKAP1L/IRS2/MYC/PTPN6/VAV1/PRDX2/LST1/TGFBR2/SASH3/PTPN22/PPP3CB/STAT5B/PYCARD/CTNNB1/PLCL2/RAC2/ITCH",47
"GO:0050851","antigen receptor-mediated signaling pathway","38/883","215/18860",0.176744186046512,3.77507967025732,9.06973430689613,1.26274921150527e-12,9.28120670456375e-10,7.10367639134019e-10,"PTPRC/BCL2/THEMIS2/PRKCH/PRKCB/SKAP1/HLA-A/PDE4B/SOS1/PTPRJ/INPP5D/CD247/CD3G/LCK/THEMIS/CARD11/VAV3/FOXP1/TXK/FYB1/FYN/NFKBIZ/TRAC/RC3H1/PIK3CD/NCKAP1L/CSK/PDE4D/PTPN6/PIK3CA/PTPN22/RFTN1/WNK1/CD3D/PLCL2/GBP1/UBASH3A/DGKZ",38
"GO:0051056","regulation of small GTPase mediated signal transduction","46/883","314/18860",0.146496815286624,3.12902597543118,8.43143952346176,5.70817813723191e-12,3.26252587258932e-09,2.49708133381549e-09,"RIPOR2/ARHGAP15/ARHGAP25/SIPA1L1/DOCK8/ARHGAP26/DOCK2/SOS1/DENND1A/ARHGEF18/PICALM/RASA3/ARHGAP30/VAV3/DOCK10/DOCK11/RALGAPA2/CDC42SE2/ARFGEF1/AKAP13/RASGRP1/SEMA4D/IQSEC1/RASA2/MAPKAP1/FGD3/MYO9B/DOCK9/PREX1/VAV1/CUL3/GNA13/SIPA1/MAP4K4/WNK1/ITPKB/AUTS2/ARHGAP1/DENND4A/CYTH1/BCR/CBL/RALGAPA1/TIAM1/SHOC2/RTN4",46
"GO:0045058","T cell selection","20/883","64/18860",0.3125,6.6746885617214,10.0781396791734,5.75501708302414e-12,3.26252587258932e-09,2.49708133381549e-09,"PTPRC/BCL2/DOCK2/BCL11B/CD3G/LGALS1/THEMIS/CARD11/SOCS3/JAK1/SPN/CD4/IL6R/NFATC3/OPA1/TOX/ITPKB/CD3D/JAK3/ZFPM1",20
"GO:0043368","positive T cell selection","18/883","51/18860",0.352941176470588,7.53847178735594,10.3623811335408,6.37545856377995e-12,3.26252587258932e-09,2.49708133381549e-09,"PTPRC/BCL2/DOCK2/BCL11B/CD3G/LGALS1/THEMIS/SOCS3/JAK1/SPN/IL6R/NFATC3/OPA1/TOX/ITPKB/CD3D/JAK3/ZFPM1",18
